2021-06-06 08:16:57 [main] INFO  c.s.d.CarChargingSessionApplication - Application is starting..
2021-06-06 08:16:58 [main] INFO  c.s.d.CarChargingSessionApplication - Starting CarChargingSessionApplication using Java 1.8.0_281 on Sertacs-MacBook-Pro.local with PID 39435 (/Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session/target/classes started by sertacdemir in /Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session)
2021-06-06 08:16:58 [main] INFO  c.s.d.CarChargingSessionApplication - No active profile set, falling back to default profiles: default
2021-06-06 08:17:00 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2021-06-06 08:17:00 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2021-06-06 08:17:00 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-06 08:17:00 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-06 08:17:00 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-06 08:17:00 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1439 ms
2021-06-06 08:17:00 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2021-06-06 08:17:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2021-06-06 08:17:01 [main] INFO  c.s.d.CarChargingSessionApplication - Started CarChargingSessionApplication in 2.907 seconds (JVM running for 3.559)
2021-06-06 08:17:01 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-06-06 08:17:01 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-06-06 08:27:09 [main] INFO  c.s.d.CarChargingSessionApplication - Application is starting..
2021-06-06 08:27:10 [main] INFO  c.s.d.CarChargingSessionApplication - Starting CarChargingSessionApplication using Java 1.8.0_281 on Sertacs-MacBook-Pro.local with PID 39546 (/Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session/target/classes started by sertacdemir in /Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session)
2021-06-06 08:27:10 [main] INFO  c.s.d.CarChargingSessionApplication - No active profile set, falling back to default profiles: default
2021-06-06 08:27:12 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2021-06-06 08:27:12 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2021-06-06 08:27:12 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-06 08:27:12 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-06 08:27:12 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-06 08:27:12 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1597 ms
2021-06-06 08:27:13 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2021-06-06 08:27:13 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2021-06-06 08:27:13 [main] INFO  c.s.d.CarChargingSessionApplication - Started CarChargingSessionApplication in 3.275 seconds (JVM running for 3.94)
2021-06-06 08:27:13 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-06-06 08:27:13 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-06-06 08:27:20 [http-nio-8082-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
