2021-06-08 10:00:07 [main] INFO  c.s.d.CarChargingSessionApplication - Application is starting..
2021-06-08 10:00:08 [main] INFO  c.s.d.CarChargingSessionApplication - Starting CarChargingSessionApplication using Java 1.8.0_281 on Sertacs-MacBook-Pro.local with PID 44232 (/Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session/target/classes started by sertacdemir in /Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session)
2021-06-08 10:00:08 [main] INFO  c.s.d.CarChargingSessionApplication - No active profile set, falling back to default profiles: default
2021-06-08 10:00:10 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2021-06-08 10:00:10 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2021-06-08 10:00:10 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-08 10:00:10 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-08 10:00:10 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-08 10:00:10 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1756 ms
2021-06-08 10:00:12 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2021-06-08 10:00:12 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2021-06-08 10:00:12 [main] INFO  c.s.d.CarChargingSessionApplication - Started CarChargingSessionApplication in 5.29 seconds (JVM running for 5.998)
2021-06-08 10:00:12 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-06-08 10:00:12 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-06-08 10:00:23 [http-nio-8082-exec-5] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-08 10:00:23 [http-nio-8082-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-08 10:00:23 [http-nio-8082-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2021-06-08 10:00:23 [http-nio-8082-exec-5] INFO  c.s.d.c.c.s.CarChargingSessionService - Get all charging entitties request is received.
2021-06-08 10:00:25 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 10:00:25 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: fce2e8ad-ce65-442d-aeed-953732d6ab6c
2021-06-08 10:00:28 [http-nio-8082-exec-4] INFO  c.s.d.c.c.s.CarChargingSessionService - Stop charging entity request is received.
2021-06-08 10:00:28 [http-nio-8082-exec-4] INFO  c.s.d.c.c.s.CarChargingSessionService - No charging station is found with id: 7d8a6887-38e3-4b04-87b6-91b7b6815e27
2021-06-08 10:00:42 [http-nio-8082-exec-3] INFO  c.s.d.c.c.s.CarChargingSessionService - Stop charging entity request is received.
2021-06-08 10:00:42 [http-nio-8082-exec-3] INFO  c.s.d.c.c.s.CarChargingSessionService - Charging entity with id: fce2e8ad-ce65-442d-aeed-953732d6ab6c is stopped successfully!
2021-06-08 10:00:44 [http-nio-8082-exec-9] INFO  c.s.d.c.c.s.CarChargingSessionService - Stop charging entity request is received.
2021-06-08 10:00:44 [http-nio-8082-exec-9] INFO  c.s.d.c.c.s.CarChargingSessionService - Charging statis is already stopped with id: fce2e8ad-ce65-442d-aeed-953732d6ab6c
2021-06-08 10:01:00 [main] INFO  c.s.d.CarChargingSessionApplication - Application is starting..
2021-06-08 10:01:01 [main] INFO  c.s.d.CarChargingSessionApplication - Starting CarChargingSessionApplication using Java 1.8.0_281 on Sertacs-MacBook-Pro.local with PID 44241 (/Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session/target/classes started by sertacdemir in /Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session)
2021-06-08 10:01:01 [main] INFO  c.s.d.CarChargingSessionApplication - No active profile set, falling back to default profiles: default
2021-06-08 10:01:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2021-06-08 10:01:03 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2021-06-08 10:01:03 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-08 10:01:03 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-08 10:01:03 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-08 10:01:03 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1650 ms
2021-06-08 10:01:05 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2021-06-08 10:01:05 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2021-06-08 10:01:05 [main] INFO  c.s.d.CarChargingSessionApplication - Started CarChargingSessionApplication in 4.255 seconds (JVM running for 4.891)
2021-06-08 10:01:05 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-06-08 10:01:05 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-06-08 10:01:17 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-08 10:01:17 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-08 10:01:17 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2021-06-08 10:01:34 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - Get all charging entitties request is received.
2021-06-08 10:01:39 [http-nio-8082-exec-7] INFO  c.s.d.c.c.s.CarChargingSessionService - Stop charging entity request is received.
2021-06-08 10:01:39 [http-nio-8082-exec-7] INFO  c.s.d.c.c.s.CarChargingSessionService - No charging station is found with id: fce2e8ad-ce65-442d-aeed-953732d6ab6c
2021-06-08 10:02:04 [http-nio-8082-exec-2] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 10:02:04 [http-nio-8082-exec-2] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: 1b3d7215-67ce-4742-8535-030f086b5156
2021-06-08 10:02:17 [http-nio-8082-exec-8] INFO  c.s.d.c.c.s.CarChargingSessionService - Stop charging entity request is received.
2021-06-08 10:02:17 [http-nio-8082-exec-8] INFO  c.s.d.c.c.s.CarChargingSessionService - Charging entity with id: 1b3d7215-67ce-4742-8535-030f086b5156 is stopped successfully!
2021-06-08 10:02:18 [http-nio-8082-exec-9] INFO  c.s.d.c.c.s.CarChargingSessionService - Stop charging entity request is received.
2021-06-08 10:02:18 [http-nio-8082-exec-9] INFO  c.s.d.c.c.s.CarChargingSessionService - Charging statis is already stopped with id: 1b3d7215-67ce-4742-8535-030f086b5156
2021-06-08 10:03:40 [main] INFO  c.s.d.CarChargingSessionApplication - Application is starting..
2021-06-08 10:03:41 [main] INFO  c.s.d.CarChargingSessionApplication - Starting CarChargingSessionApplication using Java 1.8.0_281 on Sertacs-MacBook-Pro.local with PID 44275 (/Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session/target/classes started by sertacdemir in /Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session)
2021-06-08 10:03:41 [main] INFO  c.s.d.CarChargingSessionApplication - No active profile set, falling back to default profiles: default
2021-06-08 10:03:42 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2021-06-08 10:03:42 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2021-06-08 10:03:42 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-08 10:03:42 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-08 10:03:43 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-08 10:03:43 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1662 ms
2021-06-08 10:03:44 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2021-06-08 10:03:44 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2021-06-08 10:03:44 [main] INFO  c.s.d.CarChargingSessionApplication - Started CarChargingSessionApplication in 4.32 seconds (JVM running for 4.952)
2021-06-08 10:03:44 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-06-08 10:03:44 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-06-08 10:03:57 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-08 10:03:57 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-08 10:03:57 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-06-08 10:03:58 [http-nio-8082-exec-1] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 10:03:58 [http-nio-8082-exec-1] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: b173632b-d4f8-4e93-9156-5bfb329a465c
2021-06-08 10:05:37 [main] INFO  c.s.d.CarChargingSessionApplication - Application is starting..
2021-06-08 10:05:37 [main] INFO  c.s.d.CarChargingSessionApplication - Starting CarChargingSessionApplication using Java 1.8.0_281 on Sertacs-MacBook-Pro.local with PID 44295 (/Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session/target/classes started by sertacdemir in /Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session)
2021-06-08 10:05:37 [main] INFO  c.s.d.CarChargingSessionApplication - No active profile set, falling back to default profiles: default
2021-06-08 10:05:39 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2021-06-08 10:05:39 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2021-06-08 10:05:39 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-08 10:05:39 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-08 10:05:39 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-08 10:05:39 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1705 ms
2021-06-08 10:05:41 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2021-06-08 10:05:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2021-06-08 10:05:41 [main] INFO  c.s.d.CarChargingSessionApplication - Started CarChargingSessionApplication in 4.349 seconds (JVM running for 4.999)
2021-06-08 10:05:41 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-06-08 10:05:41 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-06-08 10:05:46 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-08 10:05:46 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-08 10:05:46 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-06-08 10:05:46 [http-nio-8082-exec-1] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 10:05:46 [http-nio-8082-exec-1] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: 5147dbce-7a7e-47bf-9301-a1d453c8bf79
2021-06-08 10:05:50 [http-nio-8082-exec-4] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 10:06:05 [http-nio-8082-exec-5] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 10:06:05 [http-nio-8082-exec-5] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: e303d086-ed75-4a95-8824-a1f0004aa3fa
2021-06-08 10:06:11 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 10:06:11 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: 24f6b2b8-a7d7-4e41-b9a1-be9ce2eb5d26
2021-06-08 10:06:17 [http-nio-8082-exec-7] INFO  c.s.d.c.c.s.CarChargingSessionService - Get all charging entitties request is received.
2021-06-08 10:06:22 [http-nio-8082-exec-8] INFO  c.s.d.c.c.s.CarChargingSessionService - Stop charging entity request is received.
2021-06-08 10:06:22 [http-nio-8082-exec-8] INFO  c.s.d.c.c.s.CarChargingSessionService - No charging station is found with id: 1b3d7215-67ce-4742-8535-030f086b5156
2021-06-08 14:46:07 [main] INFO  c.s.d.CarChargingSessionApplication - Application is starting..
2021-06-08 14:46:07 [main] INFO  c.s.d.CarChargingSessionApplication - Starting CarChargingSessionApplication using Java 1.8.0_281 on Sertacs-MacBook-Pro.local with PID 46484 (/Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session/target/classes started by sertacdemir in /Users/sertacdemir/Desktop/code/workspace-spring-tool-suite/car-charging-session)
2021-06-08 14:46:07 [main] INFO  c.s.d.CarChargingSessionApplication - No active profile set, falling back to default profiles: default
2021-06-08 14:46:09 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2021-06-08 14:46:09 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2021-06-08 14:46:09 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-08 14:46:09 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-06-08 14:46:09 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-08 14:46:09 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1700 ms
2021-06-08 14:46:11 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2021-06-08 14:46:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2021-06-08 14:46:11 [main] INFO  c.s.d.CarChargingSessionApplication - Started CarChargingSessionApplication in 4.536 seconds (JVM running for 5.239)
2021-06-08 14:46:11 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-06-08 14:46:11 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2021-06-08 14:46:18 [http-nio-8082-exec-6] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-08 14:46:18 [http-nio-8082-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-08 14:46:18 [http-nio-8082-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2021-06-08 14:46:19 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 14:46:19 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: 9fa04e92-bf52-40c7-b848-ce2907c4a35a
2021-06-08 14:46:22 [http-nio-8082-exec-10] INFO  c.s.d.c.c.s.CarChargingSessionService - Get all charging entitties request is received.
2021-06-08 14:46:28 [http-nio-8082-exec-1] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 14:46:46 [http-nio-8082-exec-3] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-08 14:46:46 [http-nio-8082-exec-3] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: 83b0c5b3-2c84-4f7c-a9c3-cf132643be2f
2021-06-08 14:46:55 [http-nio-8082-exec-5] INFO  c.s.d.c.c.s.CarChargingSessionService - Get all charging entitties request is received.
2021-06-08 14:47:11 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.sdemir.demo.CarChargingSessionApplicationTests], using SpringBootContextLoader
2021-06-08 14:47:11 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.sdemir.demo.CarChargingSessionApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-06-08 14:47:11 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.sdemir.demo.CarChargingSessionApplicationTests]: CarChargingSessionApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-06-08 14:47:11 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.sdemir.demo.CarChargingSessionApplication for test class com.sdemir.demo.CarChargingSessionApplicationTests
2021-06-08 14:47:11 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-06-08 14:47:11 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5be1d0a4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@415b0b49, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6d5620ce, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@311bf055, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@642a7222, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d322cad, org.springframework.test.context.event.EventPublishingTestExecutionListener@21be3395, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4f49f6af, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@78452606, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@147e2ae7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@448c8166, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4470fbd6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@15d49048]
